,batsman,batsman_runs
0,A Ashish Reddy,280
1,A Chandila,4
2,A Chopra,53
3,A Choudhary,25
4,A Flintoff,62
5,A Kumble,35
6,A Mishra,340
7,A Mithun,34
8,A Mukund,19
9,A Nehra,41
10,A Singh,2
11,A Symonds,974
12,A Uniyal,4
13,A Zampa,5
14,AA Bilakhia,69
15,AA Chavan,12
16,AA Jhunjhunwala,217
17,AA Noffke,9
18,AB Agarkar,179
19,AB Barath,42
20,AB Dinda,26
21,AB McDonald,123
22,AB de Villiers,3486
23,AC Blizzard,120
24,AC Gilchrist,2069
25,AC Thomas,20
26,AC Voges,181
27,AD Mascarenhas,79
28,AD Mathews,724
29,AD Nath,20
30,AD Russell,574
31,AF Milne,7
32,AG Murtaza,10
33,AG Paunikar,49
34,AJ Finch,1604
35,AJ Tye,53
36,AL Menaria,401
37,AM Nayar,672
38,AM Rahane,3057
39,AN Ahmed,36
40,AN Ghosh,7
41,AP Dole,34
42,AP Majumdar,87
43,AP Tare,339
44,AR Bawne,12
45,AR Patel,606
46,AS Rajpoot,6
47,AS Raut,194
48,AS Yadav,49
49,AT Rayudu,2416
50,AUK Pathan,39
51,Abdur Razzak,0
52,Anirudh Singh,63
53,Ankit Sharma,87
54,Ankit Soni,7
55,Anureet Singh,33
56,Azhar Mahmood,388
57,B Akhil,76
58,B Chipli,280
59,B Kumar,158
60,B Laughlin,4
61,B Lee,124
62,B Sumanth,35
63,BA Bhatt,6
64,BA Stokes,316
65,BAW Mendis,3
66,BB McCullum,2755
67,BB Samantray,125
68,BB Sran,4
69,BCJ Cutting,124
70,BE Hendricks,1
71,BJ Haddin,18
72,BJ Hodge,1400
73,BJ Rohrer,193
74,BMAJ Mendis,23
75,BR Dunk,40
76,Basil Thampi,28
77,Bipul Sharma,187
78,C Madan,15
79,C Munro,30
80,C Nanda,0
81,C de Grandhomme,126
82,CA Ingram,21
83,CA Lynn,384
84,CA Pujara,390
85,CH Gayle,3651
86,CH Morris,439
87,CJ Anderson,521
88,CJ Ferguson,98
89,CJ Jordan,3
90,CJ McKay,8
91,CK Kapugedera,16
92,CK Langeveldt,8
93,CL White,971
94,CM Gautam,169
95,CR Brathwaite,95
96,CR Woakes,46
97,CRD Fernando,4
98,D Kalyankrishna,3
99,D Salunkhe,33
100,D Wiese,127
101,D du Preez,10
102,DA Miller,1563
103,DA Warner,4014
104,DAJ Bracewell,12
105,DB Das,304
106,DB Ravi Teja,375
107,DE Bollinger,21
108,DH Yagnik,170
109,DJ Bravo,1262
110,DJ Harris,111
111,DJ Hooda,373
112,DJ Hussey,1322
113,DJ Jacobs,92
114,DJ Muthuswami,1
115,DJ Thornely,39
116,DJG Sammy,295
117,DL Chahar,14
118,DL Vettori,121
119,DM Bravo,6
120,DNT Zoysa,11
121,DP Nannes,4
122,DP Vijaykumar,1
123,DPMD Jayawardene,1808
124,DR Martyn,19
125,DR Smith,2385
126,DS Kulkarni,90
127,DS Lehmann,18
128,DT Christian,420
129,DT Patil,13
130,DW Steyn,166
131,EJG Morgan,854
132,ER Dwivedi,24
133,F Behardien,14
134,F du Plessis,1295
135,FH Edwards,4
136,FY Fazal,183
137,G Gambhir,4132
138,GB Hogg,22
139,GC Smith,739
140,GD McGrath,4
141,GH Vihari,280
142,GJ Bailey,663
143,GJ Maxwell,1229
144,GR Napier,15
145,Gurkeerat Singh,342
146,H Das,2
147,HH Gibbs,886
